data,deviceId,timestamp
"{""message"":[0.03466797,0.02661133,0.9779053,512]}",Python,1551004174648
"{""message"":[0.03466797,0.02661133,0.9779053,514]}",Python,1551004175154
"{""message"":[0.03466797,0.02661133,0.9779053,517]}",Python,1551004175663
"{""message"":[0.03466797,0.02661133,0.9779053,519]}",Python,1551004176170
"{""message"":[0.03466797,0.02661133,0.9779053,522]}",Python,1551004176996
"{""message"":[0.03466797,0.02661133,0.9779053,525]}",Python,1551004177185
"{""message"":[0.03466797,0.02661133,0.9779053,527]}",Python,1551004177691
"{""message"":[0.03466797,0.0291748,0.9832764,530]}",Python,1551004178207
"{""message"":[0.03759766,0.0291748,0.9832764,533]}",Python,1551004178704
"{""message"":[0.03759766,0.0291748,0.9832764,535]}",Python,1551004179214
"{""message"":[0.03759766,0.0291748,0.9832764,538]}",Python,1551004179718
"{""message"":[0.03759766,0.0291748,0.9832764,540]}",Python,1551004180226
"{""message"":[0.03759766,0.0291748,0.9832764,543]}",Python,1551004180733
"{""message"":[0.03759766,0.0291748,0.9832764,546]}",Python,1551004181239
"{""message"":[0.03759766,0.0291748,0.9832764,548]}",Python,1551004181745
"{""message"":[0.03759766,0.03112793,0.9780273,551]}",Python,1551004182252
"{""message"":[0.0378418,0.03112793,0.9780273,554]}",Python,1551004182759
"{""message"":[0.0378418,0.03112793,0.9780273,556]}",Python,1551004183265
"{""message"":[0.0378418,0.03112793,0.9780273,559]}",Python,1551004183773
"{""message"":[0.0378418,0.03112793,0.9780273,562]}",Python,1551004184280
"{""message"":[0.0378418,0.03112793,0.9780273,564]}",Python,1551004184785
"{""message"":[0.0378418,0.03112793,0.9780273,567]}",Python,1551004185460
"{""message"":[0.0378418,0.03112793,0.9780273,569]}",Python,1551004187196
"{""message"":[0.0378418,0.02868652,0.9694824,572]}",Python,1551004188064
"{""message"":[0.02087402,0.02868652,0.9694824,575]}",Python,1551004188682
"{""message"":[0.02087402,0.02868652,0.9694824,577]}",Python,1551004189628
"{""message"":[0.02087402,0.02868652,0.9694824,580]}",Python,1551004190499
"{""message"":[0.02087402,0.02868652,0.9694824,582]}",Python,1551004191339
"{""message"":[0.02087402,0.02868652,0.9694824,585]}",Python,1551004192047
"{""message"":[0.02087402,0.02868652,0.9694824,588]}",Python,1551004192884
"{""message"":[0.02087402,0.02868652,0.9694824,590]}",Python,1551004193853
"{""message"":[-0.002807617,0.02697754,0.9770508,8]}",Python,1551004282423
"{""message"":[-0.002807617,0.02697754,0.9770508,10]}",Python,1551004282963
"{""message"":[-0.002807617,0.02697754,0.9770508,13]}",Python,1551004283476
"{""message"":[-0.002807617,0.02697754,0.9770508,15]}",Python,1551004283977
"{""message"":[-0.002807617,0.02697754,0.9770508,18]}",Python,1551004284522
